"","Orden","Familia","Genero","Especie","sciname","NombreComun","Region","RecursoDeportivo","RecursoPesquero","RecursoOrnamental","NOM-059","PeligroCritico","EnPeligro","Vulnerable","CasiAmenazada","PreocupacionMenor","ListadaDatosDeficientes","NoEvaluada","CartaNacionalPesquera","Exoticos","Endemicos","Herbivoros","NivelTrofico","a.x","b.x","a.y","b.y","NT"
"41","Perciformes","Lutjanidae","Lutjanus","cyanopterus","Lutjanus cyanopterus","Pargo cubera","SAM","","x","","NO","","","x","","","","","Huachinango y pargo (Especie objetivo); Jurel y cojinuda (Especie asociada)","","","","4.4","ND","ND",0.47055,2.9695,4.36
"42","Perciformes","Lutjanidae","Lutjanus","analis","Lutjanus analis","Pargo lunar","SAM","","x","","NO","","","x","","","","","Huachinango y pargo (Especie objetivo); Jurel y cojinuda, Mero, negrillo y abadejo (Especie asociada)","","","","3.9","0.01349","2.97",0.0262647368421053,2.97344210526316,3.91
"43","Perciformes","Lutjanidae","Lutjanus","jocu","Lutjanus jocu","Pargo llorón","SAM","","x","","NO","","","","","","","x","Huachinango y pargo (Especie objetivo); Jurel y cojinuda, Mero, negrillo y abadejo (Especie asociada)","","","","4.4","0.01514","2.98",0.0266333333333333,3.00413333333333,4.41
"44","Tetraodontiformes","Balistidae","Melichthys ","niger","Melichthys niger","Xcochin negro","SAM","","","","NO","","","","","x","","","NINGUNO","","","","2.4","0.02344","2.95",NA,NA,2.39
"45","Tetraodontiformes","Balistidae","Melichthys ","niger","Melichthys niger","Xcochin negro","SAM","","","","NO","","","","","x","","","NINGUNO","","","","2.4","0.02344","2.95",NA,NA,2.39
"46","Perciformes","Pomacentridae","Microspathodon","chrysurus","Microspathodon chrysurus","Damisela cola amarilla","SAM","","","","NO","","","","","x","","","NINGUNO","","","","2.1","0.02291","3.02",0.0239,3.082,2.1
"47","Perciformes","Serranidae","Mycteroperca","phenax","Mycteroperca phenax","Escobillo","SAM","","x","","NO","","","","","x","","","NINGUNO","","","","4.5","ND","ND",0.01435,3,4.47
"48","Perciformes","Serranidae","Mycteroperca","bonaci","Mycteroperca bonaci","Abadejo","SAM","","x","","NO","","","","x","","","","Mero, negrillo y abadejo (Especie objetivo); Huachinango y pargo (Especie asociada)","","","","4.3","0.01","3.05",0.0336433333333333,3.03466666666667,4.3
"49","Perciformes","Serranidae","Mycteroperca","tigris","Mycteroperca tigris","Mero tigre","SAM","","x","","NO","","","","","x","","","NINGUNO","","","","4.5","0.01096","3.06",0.01425,3.115,4.5
"50","Perciformes","Serranidae","Mycteroperca","interstitialis","Mycteroperca interstitialis","Mero boca amarilla","SAM","","x","","NO","","","x","","","","","NINGUNO","","","","4.5","0.00631","3.06",0.0112666666666667,3.174,4.5
"51","Perciformes","Lutjanidae","Ocyurus","chrysurus","Ocyurus chrysurus","Rubia","SAM","","x","","NO","","","","","","","x","Huachinango y pargo (Especie objetivo), Robalo y chucumite, Trucha de mar, Sierra y peto, Mero, negrillo y abadejo (Especie asociada) ","","","","4","0.01479","2.95",0.0393260869565217,2.75954347826087,4.03
"52","Perciformes","Pomacanthidae","Pomacanthus","arcuatus","Pomacanthus arcuatus","Angel gris","SAM","","","","NO","","","","","x","","","Huachinango y pargo (Especies asociada)","","","","3.2","0.03236","2.92",0.0344,2.968,3.19
"53","Perciformes","Pomacanthidae","Pomacanthus","paru","Pomacanthus paru","Angel francés","SAM","","","","NO","","","","","x","","","Huachinango y pargo (Especies asociada)","","","","2.8","0.0309","2.95",0.0161,2.988,2.81
"54","Scorpaeniformes","Scorpaenidae","Pterois","volitans","Pterois volitans","Pez león","SAM","","x","","NO","","","","","","","x","NINGUNO","x","","","4.4","0.01122","3.09",NA,NA,4.35
"55","Perciformes","Scaridae","Scarus","coeruleus","Scarus coeruleus","Loro azul","SAM","","","","NO","","","","","x","","","NINGUNO","","","x","2","0.01288","3.04",0.0124,3.111,NA
"56","Perciformes","Scaridae","Scarus","vetula","Scarus vetula","Loro bigotón","SAM","","","","NO","","","","","x","","","NINGUNO","","","x","2","0.0138","3.03",NA,NA,NA
"57","Perciformes","Scaridae","Scarus","coelestinus","Scarus coelestinus","Loro medianoche","SAM","","","","NO","","","","","","x","","NINGUNO","","","x","2","0.01585","3.05",0.0177,3.041,2.03
"58","Perciformes","Scombridae","Scomberomorus","regalis","Scomberomorus regalis","Sierra","SAM","","x","","NO","","","","","x","","","Sierra y peto (Especie objetivo)","","","","4.5","0.00955","3.01",0.0202,2.8,4.51
