Orden ;Familia;Genero;Especie;Genero + Especie;Nombre Común ;Región;Recurso Deportivo;Recurso Pesquero;Recurso Ornamental;NOM-059;Peligro crítico;En Peligro;Vulnerable;Casi Amenazada;Preocupación menor;Listada. Datos deficientes;No Evaluada;Carta Nacional Pesquera (Grupo);Exóticos;Endémicos;Herbívoros ;Nivel Trofico;a;b
Perciformes;Acanthuridae;Acanthurus;triostegus;Acanthurus triostegus;Cirujano rayado/ Navajón carcelario;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2.8;0.02138;2.96
Perciformes;Acanthuridae;Acanthurus;xanthopterus;Acanthurus xanthopterus;Cirujano aleta amarilla;GdC;;x;;NO;;;;;x;;;"Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)";;;;2.9;0.01862;3
Myliobatiformes;Myliobatidae;Aetobatus ;narinari;Aetobatus narinari;Raya pinta/chucho pintado;GdC;;x;;NO;;;;x;;;;NINGUNO;;;;4.2;ND;ND
Perciformes;Serranidae;Alphestes;immaculatus;Alphestes immaculatus;Cabrilla rosa;GdC;;x;x;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;3.5;0.01096;3.04
Perciformes;Haemulidae;Anisotremus;davidsonii;Anisotremus davidsonii;Canelo;GdC;;x;;NO;;;;;x;;;NINGUNO;;;;3.5;ND;ND
Perciformes;Haemulidae;Anisotremus;interruptus;Anisotremus interruptus;Burrito/Burro ronco;GdC;;x;;NO;;;;;x;;;"Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)";;;;3.5;0.02455;3.06
Perciformes;Haemulidae;Anisotremus;taeniatus;Anisotremus taeniatus;Burro rayado;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4.2;0.01622;3.04
Perciformes;Apogonidae;Apogon;pacificus;Apogon pacificus;Cardenal;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.01023;3.09
Perciformes;Apogonidae;Apogon;retrosella;Apogon retrosella;Cardenal de Cortés;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.01122;3.12
Tetraodontiformes;Tetraodontidae;Arothron; meleagris;Arothron meleagris;Botete globo;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.6;0.02692;2.88
Tetraodontiformes;Balistidae;Balistes;polylepsis;Balistes polylepis;Cochito;GdC;;x;x;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;3.3;0.02399;2.89
Perciformes;Labridae;Bodianus;diplotaenia;Bodianus diplotaenia;Vieja /  Vieje de piedra;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.0123;3.04
Perciformes;Sparidae;Calamus;brachysomus;Calamus brachysomus;Mojarra blanca;GdC;;x;;NO;;;;;x;;;"Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada); Robalos (Centropomidae)(Especie Asociada); Sierras (Scrombridae)(Especie Asociada)";;;;3.8;ND;ND
Tetraodontiformes;Monacanthidae;Cantherhines;dumerilii;Cantherhines dumerilii;Lija vagabunda/ Puerco Isleño;GdC;;;;NO;;;;;x;;;NINGUNO;;;;3.1;0.02455;2.92
Tetraodontiformes;Tetraodontidae;Canthigaster;punctatissima;Canthigaster punctatissima;Botete bonito;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.1;0.0138;3.04
Perciformes;Carangidae;Caranx;caballus;Caranx caballus;Jurel bonito;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4.1;0.02089;2.98
Perciformes;Malacanthidae;Caulolatilus;princeps;Caulolatilus princeps;Pierna;GdC;;x;;NO;;;;;x;;;NINGUNO;;;;3.9;ND;ND
Perciformes;Serranidae;Cephalopholis;panamensis;Cephalopholis panamensis;Cabrilla piedrera / mero panameño / Enjambre;GdC;;x;;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;4.2;0.01445;3.07
Perciformes;Chaetodontidae;Chaetodon;humeralis;Chaetodon humeralis;Mariposa muñeca;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2.7;0.02188;3.02
Perciformes;Sciaenidae;Cheilotrema ;saturnum;Cheilotrema saturnum;Corvina roncacho/Corvina negra;GdC;;;;NO;;;;;;x;;NINGUNO;;;;3.6;0.00912;3.1
Perciformes;Pomacentridae;Chromis;atrilobata;Chromis atrilobata;Castaña cola de tijera;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.01413;3.06
Perciformes;Pomacentridae;Chromis;limbaughi;Chromis limbaughi;Castaña mexicana;GdC;;;x;SI;;;;;x;;;NINGUNO;;x;;3.4;0.01549;2.98
Perciformes;Cirrhitidae;Cirrhitichthys;oxycephalus;Cirrhitichthys oxycephalus;Halcón de coral;GdC;;;x;NO;;;;;;;x;NINGUNO;;;;4;0.0138;3.02
Perciformes;Cirrhitidae;Cirrhitus;rivulatus;Cirrhitus rivulatus;Chino mero;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4;ND;ND
Perciformes;Tripterygiidae;Crocodilichthys;gracilis;Crocodilichthys gracilis;Tres aletas/Lagartija tres aletas;GdC;;;;NO;;;;;x;;;NINGUNO;;;;2.7;0.00562;3.03
Perciformes;Gobiidae;Coryphopterus;urospilus;Coryphopterus urospilus;Gobio/Gobio semáforo;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.00741;3.18
Myliobatiformes;Dasyatidae;Dasyatis;dipterura;Dasyatis dipterura;Manta coludo o arenera;GdC;;x;;NO;;;;;;x;;NINGUNO;;;;3.5;0.01202;3.03
Tetraodontiformes;Diodontidae;Diodon;holocanthus;Diodon holocanthus;Pez globo / Pez erizo / mapache ;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.9;0.04365;2.87
Tetraodontiformes;Diodontidae;Diodon;hystrix;Diodon hystrix;Pez erizo picoso;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;3.7;0.06607;2.84
Torpediniformes;Narcinidae;Diplobatis;ommata;Diplobatis ommata;Raya eléctrica ;GdC;;x;;NO;;;x;;;;;NINGUNO;;;;3.3;0.01023;2.83
Anguilliformes;Muraenidae;Echidna ;nebulosa;Echidna nebulosa;Morena estrellada/Morena estriada;GdC;;;x;NO;;;;;;;x;NINGUNO;;;;4;ND;ND
Perciformes;Gobiidae;Elacatinus ;puncticulatus;Elacatinus puncticulatus;Gobio/Gobio cabeza roja;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.00661;3.12
